"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "AG_PROD_CROP", "AG_PROD_CROP_ORGAN", "AG_PROD_CROP_UNIT", "AG_PROD_COMMENT", "AG_PROD_DATE_START", 
"US-Atq", "23708", "GRP_AG_PROD_CROP", "0", "Fruits", "gC m-2", "No trees or crops.", , 
"US-Atq", "23968", "GRP_AG_PROD_CROP", "0", "Foliage", "gC m-2", "No trees or crops.", , 
"US-Atq", "24228", "GRP_AG_PROD_CROP", "0", "Total", "gC m-2", "No trees or crops.", , 
"US-Brw", "23709", "GRP_AG_PROD_CROP", "0", "Total", "gC m-2", "No trees or crops.", , 
"US-Brw", "24069", "GRP_AG_PROD_CROP", "0", "Fruits", "gC m-2", "No trees or crops.", , 
"US-Brw", "24600", "GRP_AG_PROD_CROP", "0", "Foliage", "gC m-2", "No trees or crops.", , 
"US-Ne1", "27429", "GRP_AG_PROD_CROP", "470", "Foliage", "gC m-2", , "20031021", 
"US-Ne1", "27670", "GRP_AG_PROD_CROP", "1007", "Total", "gC m-2", , "20011016", 
"US-Ne1", "28040", "GRP_AG_PROD_CROP", "503", "Foliage", "gC m-2", , "20021015", 
"US-Ne1", "28041", "GRP_AG_PROD_CROP", "949", "Total", "gC m-2", , "20021015", 
"US-Ne1", "28387", "GRP_AG_PROD_CROP", "883", "Total", "gC m-2", , "20051009", 
"US-Ne1", "28659", "GRP_AG_PROD_CROP", "908", "Total", "gC m-2", , "20031021", 
"US-Ne1", "29251", "GRP_AG_PROD_CROP", "521", "Foliage", "gC m-2", , "20011016", 
"US-Ne1", "29252", "GRP_AG_PROD_CROP", "852", "Total", "gC m-2", , "20041004", 
"US-Ne1", "29576", "GRP_AG_PROD_CROP", "470", "Foliage", "gC m-2", , "20041004", 
"US-Ne1", "29577", "GRP_AG_PROD_CROP", "447", "Foliage", "gC m-2", , "20051009", 
"US-Ne2", "27127", "GRP_AG_PROD_CROP", "964", "Total", "gC m-2", , "20011016", 
"US-Ne2", "27426", "GRP_AG_PROD_CROP", "992", "Total", "gC m-2", , "20031020", 
"US-Ne2", "27427", "GRP_AG_PROD_CROP", "171", "Fruits", "gC m-2", , "20041013", 
"US-Ne2", "27665", "GRP_AG_PROD_CROP", "895", "Total", "gC m-2", , "20051011", 
"US-Ne2", "28038", "GRP_AG_PROD_CROP", "538", "Fruits", "gC m-2", , "20031020", 
"US-Ne2", "28386", "GRP_AG_PROD_CROP", "488", "Fruits", "gC m-2", , "20051011", 
"US-Ne2", "28656", "GRP_AG_PROD_CROP", "451", "Total", "gC m-2", , "20021010", 
"US-Ne2", "29369", "GRP_AG_PROD_CROP", "183", "Fruits", "gC m-2", , "20021010", 
"US-Ne2", "29370", "GRP_AG_PROD_CROP", "334", "Total", "gC m-2", , "20041013", 
"US-Ne2", "29575", "GRP_AG_PROD_CROP", "518", "Fruits", "gC m-2", , "20011016", 
"US-Ne3", "27125", "GRP_AG_PROD_CROP", "335", "Fruits", "gC m-2", , "20011011", 
"US-Ne3", "27126", "GRP_AG_PROD_CROP", "736", "Total", "gC m-2", , "20051005", 
"US-Ne3", "27422", "GRP_AG_PROD_CROP", "297", "Fruits", "gC m-2", , "20031002", 
"US-Ne3", "27423", "GRP_AG_PROD_CROP", "595", "Total", "gC m-2", , "20031002", 
"US-Ne3", "28037", "GRP_AG_PROD_CROP", "157", "Fruits", "gC m-2", , "20041005", 
"US-Ne3", "28383", "GRP_AG_PROD_CROP", "153", "Fruits", "gC m-2", , "20021011", 
"US-Ne3", "28651", "GRP_AG_PROD_CROP", "333", "Total", "gC m-2", , "20021011", 
"US-Ne3", "28652", "GRP_AG_PROD_CROP", "295", "Total", "gC m-2", , "20041005", 
"US-Ne3", "29367", "GRP_AG_PROD_CROP", "713", "Total", "gC m-2", , "20011011", 
"US-Ne3", "29572", "GRP_AG_PROD_CROP", "340", "Fruits", "gC m-2", , "20051005", 
"US-SO2", "23836", "GRP_AG_PROD_CROP", "0", "Fruits", "gC m-2", "No trees or crops.", , 
"US-SO2", "24070", "GRP_AG_PROD_CROP", "0", "Total", "gC m-2", "No trees or crops.", , 
"US-SO2", "24472", "GRP_AG_PROD_CROP", "0", "Foliage", "gC m-2", "No trees or crops.", , 
"US-SO3", "24473", "GRP_AG_PROD_CROP", "0", "Total", "gC m-2", "No trees or crops.", , 
"US-SO3", "24729", "GRP_AG_PROD_CROP", "0", "Fruits", "gC m-2", "No trees or crops.", , 
"US-SO3", "24862", "GRP_AG_PROD_CROP", "0", "Foliage", "gC m-2", "No trees or crops.", , 
"US-SO4", "23835", "GRP_AG_PROD_CROP", "0", "Foliage", "gC m-2", "No trees or crops.", , 
"US-SO4", "24986", "GRP_AG_PROD_CROP", "0", "Fruits", "gC m-2", "No trees or crops.", , 
"US-SO4", "25123", "GRP_AG_PROD_CROP", "0", "Total", "gC m-2", "No trees or crops.", , 
