"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "DM_PESTICIDE", "DM_DATE", "DM_COMMENT", 
"US-ARM", "89297", "GRP_DM_PESTICIDE", "Fungicide", "20130416", "Unknown amount or type", 
"US-ARM", "89298", "GRP_DM_PESTICIDE", "Herbicide", "20030321", "MCPA, broad leaf herbicide", 
"US-ARM", "89301", "GRP_DM_PESTICIDE", "Herbicide", "20050501", "Roundup herbicide", 
"US-ARM", "89311", "GRP_DM_PESTICIDE", "Herbicide", "20050612", "Roundup herbicide", 
"US-ARM", "89317", "GRP_DM_PESTICIDE", "Herbicide", "20160527", "Roundup herbicide", 
"US-ARM", "89323", "GRP_DM_PESTICIDE", "Herbicide", "20070306", "Amber herbicide", 
"US-ARM", "89332", "GRP_DM_PESTICIDE", "Insecticide", "20070510", "Karate insecticide", 
"US-ARM", "89336", "GRP_DM_PESTICIDE", "Herbicide", "20070809", "Roundup herbicide", 
"US-ARM", "89356", "GRP_DM_PESTICIDE", "Other", "20160703", "sprayed (unknown type or amount)", 
"US-ARM", "89363", "GRP_DM_PESTICIDE", "Herbicide", "20080517", "Roundup herbicide (22 oz per acre)", 
"US-ARM", "89365", "GRP_DM_PESTICIDE", "Insecticide", "20160813", "Grizzly 2 insecticide (70 oz per acre)", 
"US-ARM", "89367", "GRP_DM_PESTICIDE", "Other", "20080708", "Known type or amount", 
"US-ARM", "89370", "GRP_DM_PESTICIDE", "Herbicide", "20011028", "Maverick, a herbicide", 
"US-ARM", "89376", "GRP_DM_PESTICIDE", "Herbicide", "20060913", "Roundup herbicide", 
"US-ARM", "89380", "GRP_DM_PESTICIDE", "Herbicide", "20110323", "Roundup (22 oz per acre) and Warrior (2.5 oz per acre) applied", 
"US-ARM", "89384", "GRP_DM_PESTICIDE", "Herbicide", "20060608", "Roundup herbicide", 
"US-ARM", "89390", "GRP_DM_PESTICIDE", "Other", "20090316", "Herbicide and pesticide (Lorsban) applied", 
"US-ARM", "89400", "GRP_DM_PESTICIDE", "Herbicide", "20100408", "24D (4 oz per acre) and Affinity (0.8 oz per acre) applied", 
"US-ARM", "89415", "GRP_DM_PESTICIDE", "Herbicide", "20080723", "Roundup herbicide (22 oz per acre)", 
"US-Ne1", "265", "GRP_DM_PESTICIDE", "Other", "20060505", "CinchATZ 2.1 qt, Glyphosate 32oz+2,4D 4LV 0.5 pt", 
"US-Ne1", "268", "GRP_DM_PESTICIDE", "Other", "20040506", "HarnessXtra5.6L (2.3qt/ac), HornetWDG(3oz/ac), 2,4D4L(.5pt/ac) pre-emergent", 
"US-Ne1", "280", "GRP_DM_PESTICIDE", "Other", "20020720", "mustang-3.9 oz/ac with 0.20 in water", 
"US-Ne1", "286", "GRP_DM_PESTICIDE", "Other", "20070612", "GlystarPlus (glyphosate) 2.5 pt, AMS 2 lb", 
"US-Ne1", "1115", "GRP_DM_PESTICIDE", "Other", "20010510", "Axiom 15oz/ac, Atrazine 1 lb/ac, Balance PRO .75oz/ac", 
"US-Ne1", "2795", "GRP_DM_PESTICIDE", "Other", "20030718", , 
"US-Ne1", "3649", "GRP_DM_PESTICIDE", "Other", "20060605", "Liberty 32 oz + Callisto 1 oz,AMS 3lbs", 
"US-Ne1", "4474", "GRP_DM_PESTICIDE", "Other", "20030801", "Baythoid2  1.6oz/ac. 0.14 in water", 
"US-Ne1", "4490", "GRP_DM_PESTICIDE", "Other", "20050616", "Steadfast 0.75oz/ac, Callisto 2oz/ac, Atrazine 0.5pt/ac, COC/AMS 2lb/ac", 
"US-Ne1", "5362", "GRP_DM_PESTICIDE", "Other", "20070502", "Keystone 2.6 qt, 2-4D 0.5pt, Glyphosate 1 pt  w/UAN", 
"US-Ne1", "5367", "GRP_DM_PESTICIDE", "Other", "20010616", "Calisto (mesotrine) 3oz/ac., Atrazine 0.5 lb/ac,  COC 0.1 gal/ac.,  AMS  0.9 lb/ac", 
"US-Ne1", "6205", "GRP_DM_PESTICIDE", "Other", "20020510", "BicepII Mag 2.1 qt/ac,  Hornet 3 oz/ac pre-emergent", 
"US-Ne1", "6211", "GRP_DM_PESTICIDE", "Other", "20040803", "Tilt fungicide 4oz/ac  .15 in", 
"US-Ne1", "6212", "GRP_DM_PESTICIDE", "Other", "20070722", "Stratego 10oz, NIS 32oz.", 
"US-Ne1", "7047", "GRP_DM_PESTICIDE", "Other", "20050506", "Herbicide(pre-emergent)   Keystone 2.6 qt/ac, Hornet 3.0 oz/ac  2,4D 4LV 0.5pt/ac,  COC 1.0pt/ac", 
"US-Ne1", "7903", "GRP_DM_PESTICIDE", "Other", "20030627", , 
"US-Ne1", "8745", "GRP_DM_PESTICIDE", "Other", "20030515", "pre-emergent BicepII Mag 2.1 qt/ac,  Hornet 3 oz/ac", 
"US-Ne2", "269", "GRP_DM_PESTICIDE", "Other", "20040712", "Roundup Original Max 26 oz/ac", 
"US-Ne2", "1100", "GRP_DM_PESTICIDE", "Other", "20060815", "GlyStarPlus(glyphosate) 64 oz/acre, AMS 2 lb/acre, NIS 1.6 oz/acre spot application 65 acre", 
"US-Ne2", "1101", "GRP_DM_PESTICIDE", "Other", "20070502", "Keystone 2.6qt/acre, 2-4D 0.5pt/acre, Glyphosate 1.5pt/acre, AMS 2 lb", 
"US-Ne2", "2801", "GRP_DM_PESTICIDE", "Other", "20060623", "GlyStarPlus(glyphosate) 48 oz, AMS 2 lb, NIS 1.6 oz", 
"US-Ne2", "3653", "GRP_DM_PESTICIDE", "Other", "20060621", "GlyStarPlus(glyphosate) 32 oz, AMS 2 lb, NIS 1.6 oz", 
"US-Ne2", "3661", "GRP_DM_PESTICIDE", "Other", "20020717", "Gylphos 1 qt/ac", 
"US-Ne2", "4476", "GRP_DM_PESTICIDE", "Other", "20040607", "Roundup Original Max 26 oz/ac", 
"US-Ne2", "4493", "GRP_DM_PESTICIDE", "Other", "20010514", "Axiom 15oz & Atrazine 1 lb/ac, Balance PRO .75oz/ac", 
"US-Ne2", "5351", "GRP_DM_PESTICIDE", "Other", "20030515", "Harness Xtra 5.6L 1.8 qt/ac,  BalancePRO 2 oz/ac,  Roundup II 20 oz/ac, AMS (ammonium sulfate) 2lb/ac", 
"US-Ne2", "6200", "GRP_DM_PESTICIDE", "Other", "20050504", "Keystone 2.6 qt/ac,  Hornet 3.0 oz/ac,  2,4D 4LV 0.5pt/ac, COC 1.0pt/ac", 
"US-Ne2", "6213", "GRP_DM_PESTICIDE", "Other", "20010616", "Calisto (mesotrine) 3oz/ac., Atrazine 0.5 lb/ac,  COC 0.1 gal/ac.,  AMS (ammonium Sulfate)  0.9 lb/ac", 
"US-Ne2", "7038", "GRP_DM_PESTICIDE", "Other", "20070611", "Impact 0.5oz, AtrazineDF .25lb, MSO 1.25pt/acre,  AMS 1.2lb/acre", 
"US-Ne2", "7054", "GRP_DM_PESTICIDE", "Other", "20020607", "Glyphos 40oz/ac., NIS 6.4oz/ac AMS (ammonium sulfate) 1.7lb/ac.", 
"US-Ne2", "8752", "GRP_DM_PESTICIDE", "Other", "20030718", , 
"US-Ne2", "8759", "GRP_DM_PESTICIDE", "Other", "20070722", "Stratego 10oz/acre, NIS 32oz/acre 124.7 acres", 
"US-Ne2", "9623", "GRP_DM_PESTICIDE", "Other", "20060419", "Canopy 3.5 oz/ac,  2-4D 4LV 0.5pt/ac, Crop Oil  0.5 pt/ac", 
"US-Ne3", "295", "GRP_DM_PESTICIDE", "Other", "20030513", "Harness Xtra 5.6L 1.8 qt/ac, Hornet 3 oz/ac,  Roundup II 20 oz/ac, AMS (ammonium sulfate) 2lb/ac", 
"US-Ne3", "1104", "GRP_DM_PESTICIDE", "Other", "20021107", "Atrazine", 
"US-Ne3", "1968", "GRP_DM_PESTICIDE", "Other", "20030623", "Spot treatment, Aim 0.5oz/ac, NIS 0.1qt/ac, AMS (ammonium sulfate) 2lb/ac   20ac NW/SE", 
"US-Ne3", "1969", "GRP_DM_PESTICIDE", "Other", "20060621", "GlyStarPlus (glyphosate) 48 oz, AMS 2 lb + NIS 1.6 oz  Spot 61 acre", 
"US-Ne3", "4482", "GRP_DM_PESTICIDE", "Other", "20020418", "Glyphos- spot treatment", 
"US-Ne3", "4499", "GRP_DM_PESTICIDE", "Other", "20040617", "Spot treatment- Accent .67oz, Calisto 3oz, COC, AMS   2ac", 
"US-Ne3", "4500", "GRP_DM_PESTICIDE", "Other", "20060419", "Canopy 3.5 oz/ac, 2-4D 4LV 0.5pt/ac, Crop Oil 0.5 pt/ac", 
"US-Ne3", "5369", "GRP_DM_PESTICIDE", "Other", "20050427", "Keystone 2.6 qt/ac, Hornet 3.0 oz/ac, 2,4D 4LV 0.5pt/ac, COC 1.0pt/ac", 
"US-Ne3", "6219", "GRP_DM_PESTICIDE", "Other", "20030617", "Spot treatment, Accent .67oz/ac, Calisto 3oz/ac, COC, AMS   2acres", 
"US-Ne3", "7041", "GRP_DM_PESTICIDE", "Other", "20020517", "1 quart/ac", 
"US-Ne3", "7060", "GRP_DM_PESTICIDE", "Other", "20030718", , 
"US-Ne3", "7061", "GRP_DM_PESTICIDE", "Other", "20040623", "Spot treatment - Aim 0.5oz, NIS 0.1qt, AMS 2lb   20ac NW/SE", 
"US-Ne3", "7937", "GRP_DM_PESTICIDE", "Other", "20061114", "2,4D 4LV 2.0 pt/ac", 
"US-Ne3", "8761", "GRP_DM_PESTICIDE", "Other", "20010515", "Axiom 15oz/ac. & Atrazine 1.0 lb/ac, Balance PRO 0.75oz/ac.", 
"US-Ne3", "8762", "GRP_DM_PESTICIDE", "Other", "20020617", "Gyphos (roundup)-spot application, target areas", 
"US-Ne3", "8778", "GRP_DM_PESTICIDE", "Other", "20040602", "Harness Xtra 5.6L 1.8 qt/ac, Hornet 3 oz/ac, Roundup II 20 oz/ac,  AMS (ammonium sulfate) 2lb/ac", 
"US-Ne3", "8781", "GRP_DM_PESTICIDE", "Other", "20051111", "2,4D 1.0 qt/ac", 
