"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "DM_TILL", "DM_DATE", "DM_COMMENT", 
"US-ARM", "89307", "GRP_DM_TILL", "Other", "20020710", "disked (4 inch depth)", 
"US-ARM", "89310", "GRP_DM_TILL", "Other", "20020810", "chiseled with 8 inch duck feet on 12 inch spacing", 
"US-ARM", "89312", "GRP_DM_TILL", "Other", "20090825", "disked", 
"US-ARM", "89316", "GRP_DM_TILL", "Other", "20020910", "chiseled to 3 inch on 12 inch spacing", 
"US-ARM", "89328", "GRP_DM_TILL", "Other", "20090710", "disked", 
"US-ARM", "89331", "GRP_DM_TILL", "Other", "20030725", "disked (3 inch depth)", 
"US-ARM", "89333", "GRP_DM_TILL", "Other", "20010810", "disked (4 inch depth)", 
"US-ARM", "89334", "GRP_DM_TILL", "Other", "20140621", "disked", 
"US-ARM", "89335", "GRP_DM_TILL", "Other", "20130921", "disked", 
"US-ARM", "89338", "GRP_DM_TILL", "Other", "20110629", "disked", 
"US-ARM", "89343", "GRP_DM_TILL", "Other", "20111017", "cultivated field", 
"US-ARM", "89364", "GRP_DM_TILL", "Other", "20010929", "cultivated (4 inch depth)", 
"US-ARM", "89375", "GRP_DM_TILL", "Other", "20011001", "harrowed (shallow depth)", 
"US-ARM", "89381", "GRP_DM_TILL", "Other", "20020925", "cultivated w flex harrow (3-4 inch depth)", 
"US-ARM", "89389", "GRP_DM_TILL", "Other", "20030925", "harrowed (2-3 inch depth)", 
"US-ARM", "89393", "GRP_DM_TILL", "Other", "20100903", "disked", 
"US-ARM", "89395", "GRP_DM_TILL", "Other", "20090929", "harrowed", 
"US-ARM", "89399", "GRP_DM_TILL", "Other", "20100804", "disked", 
"US-ARM", "89404", "GRP_DM_TILL", "Other", "20010910", "disked (5 inch depth)", 
"US-ARM", "89409", "GRP_DM_TILL", "Other", "20110903", "chiseled", 
"US-ARM", "89413", "GRP_DM_TILL", "Other", "20030918", "disked (4 inch depth)", 
"US-IB1", "1123", "GRP_DM_TILL", "Other", "20041120", , 
"US-IB1", "2821", "GRP_DM_TILL", "Other", "20061028", , 
"US-IB1", "3668", "GRP_DM_TILL", "Other", "20080501", , 
"US-IB1", "8784", "GRP_DM_TILL", "Other", "20060501", , 
"US-Me3", "22147", "GRP_DM_TILL", "Other", "1987", , 
"US-Ne1", "294", "GRP_DM_TILL", "Other", "20011107", "subsoiler", 
"US-Ne1", "1114", "GRP_DM_TILL", "Conventional", "20010509", "field-cultivator", 
"US-Ne1", "2796", "GRP_DM_TILL", "Stripe till", "20040504", , 
"US-Ne1", "2814", "GRP_DM_TILL", "Other", "20011108", "stalk-shredder", 
"US-Ne1", "4470", "GRP_DM_TILL", "Other", "20060127", "grade", 
"US-Ne1", "5358", "GRP_DM_TILL", "Other", "20021113", "track_fil", 
"US-Ne1", "5361", "GRP_DM_TILL", "Conventional", "20061101", "mini-moldboard plow", 
"US-Ne1", "5365", "GRP_DM_TILL", "Conventional", "20071113", "mini-moldboard plow", 
"US-Ne1", "6195", "GRP_DM_TILL", "Other", "20060306", "grade", 
"US-Ne1", "6216", "GRP_DM_TILL", "Conventional", "20010418", "field-disk", 
"US-Ne1", "7027", "GRP_DM_TILL", "Other", "20030518", , 
"US-Ne1", "7045", "GRP_DM_TILL", "Conventional", "20061102", "mini-moldboard plow", 
"US-Ne1", "7051", "GRP_DM_TILL", "Conventional", "20071114", "mini-moldboard plow", 
"US-Ne1", "7059", "GRP_DM_TILL", "Other", "20011112", "stalk-shredder", 
"US-Ne1", "7933", "GRP_DM_TILL", "Other", "20011109", "stalk-shredder", 
"US-Ne1", "8749", "GRP_DM_TILL", "Conventional", "20051026", "mini-moldboard plow", 
"US-Ne1", "8750", "GRP_DM_TILL", "Other", "20060307", "grade", 
"US-Ne1", "8765", "GRP_DM_TILL", "Conventional", "20061103", "mini-moldboard plow", 
"US-Ne1", "8775", "GRP_DM_TILL", "Conventional", "20010419", "field-disk", 
"US-Ne2", "1111", "GRP_DM_TILL", "Other", "20011108", "stalk-shredder", 
"US-Ne2", "1953", "GRP_DM_TILL", "Other", "20031120", "track_fil", 
"US-Ne2", "1965", "GRP_DM_TILL", "Other", "20011107", "subsoiler", 
"US-Ne2", "3660", "GRP_DM_TILL", "Conventional", "20010419", "field-disk", 
"US-Ne2", "3662", "GRP_DM_TILL", "Other", "20021113", "track_fil", 
"US-Ne2", "7918", "GRP_DM_TILL", "Other", "20071126", "subsoiler", 
"US-Ne2", "8770", "GRP_DM_TILL", "Conventional", "20010418", "field-disk", 
"US-Ne2", "9633", "GRP_DM_TILL", "Conventional", "20010510", "field-cultivator", 
"US-Ne3", "276", "GRP_DM_TILL", "Other", "20010416", "field-disk", 
"US-Ne3", "1102", "GRP_DM_TILL", "Other", "20011108", "subsoiler", 
"US-Ne3", "6202", "GRP_DM_TILL", "Other", "20010409", "field-disk", 
"US-Ne3", "7919", "GRP_DM_TILL", "Other", "20010410", "field-disk", 
"US-Ne3", "9625", "GRP_DM_TILL", "Other", "20010420", "field-cultivator", 
