"","(Intercept)","Koppen_Geiger","RockType","Elevation","Koppen_Geiger:RockType","Residuals"
"1",834.970976869839,-57.8863214703943,130.979030919213,-36.0953437679221,22.2922376976818,161.467443676583
"2",834.970976869839,-57.8863214703943,-9.48384893850151,61.0763711282058,92.5057973964683,150.689724924383
"3",834.970976869839,28.9992478276611,-342.2909517675,-55.7864203951191,-1.40474015118178,250.106558186301
"4",834.970976869839,-44.8873734898385,-12.4468864300296,19.8396157947138,-26.067394032863,18.6746646681788
"5",834.970976869839,28.9992478276613,-342.2909517675,55.786420395119,1.40474015118182,-250.106558186301
"6",834.970976869839,-57.8863214703942,-48.5980727922848,-32.1551793187735,-46.4772876759529,-59.1045129824336
"7",834.970976869839,-57.8863214703943,-48.5980727922847,154.558554248566,-41.7757083944461,230.603271448721
"8",834.970976869839,-44.8873734898384,-12.44688643003,56.2715638078515,-25.1500127096423,-18.6746646681793
"9",834.970976869839,397.263490314161,-2.73669975570101e-14,40.6064420563115,1.02249793317319,17.0372750965152
"10",834.970976869839,397.263490314161,2.41473507855972e-14,39.8474431393707,1.00338582227276,17.8153861243565
"11",834.970976869839,397.263490314161,-2.01449967818235e-13,41.365440973251,1.04161004407358,16.2591640686757
"12",834.970976869839,-57.8863214703943,130.979030919213,115.704439620157,26.1146598777685,-161.467443676583
"13",834.970976869839,-641.333016104839,19.5571119268913,53.8262649344219,-73.3833768613133,3.5527136788005e-15
"14",834.970976869839,-57.8863214703943,-48.5980727922845,-8.62621289362001,-45.8848122380392,-99.1842483255007
"15",834.970976869839,-57.8863214703943,-48.5980727922845,-70.1051251657924,-47.4328932209742,-36.1572550703931
"16",834.970976869839,-57.8863214703943,-48.5980727922845,-70.1051251657924,-47.4328932209743,-36.1572550703931
"17",834.970976869839,28.9992478276612,190.702587810641,17.7852013635072,-26.5836605789269,-87.4941785077215
"18",834.970976869839,28.9992478276612,151.588363956859,-102.011311176383,24.4627896323058,42.521835034719
"19",834.970976869839,397.263490314161,8.98725538434064e-14,-62.2379111891123,-1.56719309383553,53.4830778039477
"20",834.970976869839,28.9992478276612,151.588363956859,178.772748156548,31.5331239388122,-42.5218350347191
"21",834.970976869839,-122.640503864839,1.28952404310212e-13,-1.4210854715202e-14,4.16333634234434e-15,3.90798504668055e-14
"22",834.970976869839,-57.8863214703943,-9.48384893850173,-114.252378685028,88.0908997784683,-150.689724924383
"23",834.970976869839,-37.6131078148388,-1.45994327738208e-14,3.73034936274053e-14,3.75116604445225e-14,5.32907051820075e-14
"24",834.970976869839,-44.8873734898385,128.015993427685,-79.6090958522349,-48.4068975754502,-1.03028696685215e-13
"25",834.970976869839,397.263490314161,8.98725538434064e-14,-59.5814149798209,-1.50030070568401,-104.594903093495
"26",834.970976869839,-44.8873734898385,-51.5611102838127,2.50795704177527,49.8312642698781,-0.77811102784084
"27",834.970976869839,-44.8873734898385,-51.5611102838127,0.989959207894463,49.7930400480773,0.778111027840833
"28",834.970976869839,-641.333016104839,-19.5571119268913,-53.8262649344219,73.3833768613133,-1.06581410364015e-14
"29",834.970976869839,469.639579535161,5.21249710061511e-14,1.06581410364015e-14,6.80011602582908e-16,-4.9737991503207e-14
"30",834.970976869839,28.9992478276612,190.702587810641,-94.546638343672,-29.4122529921911,87.4941785077219
"31",834.970976869839,-441.619113499839,-2.4980018054066e-15,1.24344978758018e-14,-4.16333634234434e-15,-1.77635683940025e-14
